lt_codice;odi_value;reg;OraSig
4099-06;22.3;TEMP-ARIA-INGR-ACT;09:47:00
4099-06;25.0;TEMP-ARIA-INGR-SET;09:47:00
4099-06;27.4;TEMP-ARIA-USCITA-ACT;09:47:00
4099-06;26.6;TEMP-PROD-ACT;09:47:00
4099-06;0.0;VEL_PMP_SOLUZ-SET;09:47:00
4099-07;22.0;TEMP-ARIA-INGR-ACT;11:09:00
4099-07;25.0;TEMP-ARIA-INGR-SET;11:09:00
4099-07;26.3;TEMP-ARIA-USCITA-ACT;11:09:00
4099-07;26.1;TEMP-PROD-ACT;11:09:00
4099-07;0.0;VEL_PMP_SOLUZ-SET;11:09:00
4099-09;0.0;VEL-SETAC-ROT-ACT/10;12:52:00
4099-09;0.0;VEL-SETAC-ROT-SET/10;12:52:00
4100-04;18.2;TEMP-ARIA-INGR-ACT;09:47:00
4100-04;9.5;TEMP-ARIA-INGR-SET;09:47:00
4100-04;9.7;TEMP-ARIA-USCITA-ACT;09:47:00
4100-05;18.4;TEMP-PROD-ACT;09:47:00
4100-05;11.3;VEL_PMP_SOLUZ-SET;09:47:00
4100-07;11.4;TEMP-ARIA-INGR-ACT;11:09:00
4100-07;27.5;TEMP-ARIA-INGR-SET;11:09:00
4100-07;11.9;TEMP-ARIA-USCITA-ACT;11:09:00
4100-07;17.3;TEMP-PROD-ACT;11:09:00
4100-09;10.9;VEL_PMP_SOLUZ-SET;11:09:00
4100-09;0.0;VEL-SETAC-ROT-ACT/10;12:52:00
4100-10;0.0;VEL-SETAC-ROT-SET/10;12:52:00
;;;
